"seq_name","dr_match_name","replicate","dna_type","seq_depth","plate.id","year","season","sampling.date","lat","long","sample.type.year"
"LR134R","LR134",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-05",52.08962,-63.84148,"HeadwaterLakes"
"LR137D","LR137",1,"DNA","Shallow",11,2017,"Autumn","2017-10-06",50.31519,-63.7739,"Downriver"
"LR137R","LR137",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-06",50.31519,-63.7739,"Downriver"
"LR138D","LR138",1,"DNA","Shallow",11,2017,"Autumn","2017-10-07",50.32291,-63.36678,"Downriver"
"LR138R","LR138",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-07",50.32291,-63.36678,"Downriver"
"LR139D","LR139",1,"DNA","Shallow",11,2017,"Autumn","2017-10-07",50.32779,-63.2865,"Downriver"
"LR139R","LR139",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-07",50.32779,-63.2865,"Downriver"
"LR140D","LR140",1,"DNA","Shallow",11,2017,"Autumn","2017-10-07",50.3826,-63.26749,"Downriver"
"LR140R","LR140",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-07",50.3826,-63.26749,"Downriver"
"LR142D","LR142",1,"DNA","Shallow",11,2017,"Autumn","2017-10-10",50.30284,-63.59752,"Downriver"
"LR142R","LR142",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-10",50.30284,-63.59752,"Downriver"
"RO149D","RO149",1,"DNA","Shallow",11,2017,"Autumn","2017-10-05",50.6269,-63.18731,"RO1"
"RO149R","RO149",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-05",50.6269,-63.18731,"RO1"
"RO151D","RO151",1,"DNA","Shallow",11,2017,"Autumn","2017-10-05",50.4634,-63.23511,"RO1"
"RO151R","RO151",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-05",50.4634,-63.23511,"RO1"
"RO152D","RO152",1,"DNA","Shallow",11,2017,"Autumn","2017-10-08",50.39031,-63.24513,"RO1"
